League Power Rankings for The Ironbound Sixteen

Team,Owner,Tier,Overall Rank,Overall Value,Starter Rank,Starter Value,QB Rank,QB Value,RB Rank,RB Value,WR Rank,WR Value,TE Rank,TE Value,Draft Capital Rank,Draft Capital Value,QB Starter Rank,QB Starter Value,RB Starter Rank,RB Starter Value,WR Starter Rank,WR Starter Value,TE Starter Rank,TE Starter Value,FLEX Starter Rank,FLEX Starter Value
The Buckaneers,jarydM,Frisky,1,68184,8,975,6,10594,5,12518,7,15759,2,7873,5,21440,12,15,10,47,6,34,1,1,12,92
Mormonts of Bear Island ,SnickerPicks2024,Frisky,2,68179,12,959,2,12994,15,3547,4,16963,11,4553,1,30122,3,3,14,85,11,43,3,4,9,70
Scenic City Beavers ,aaronrucker,Contender,3,64642,5,1030,12,8361,14,6327,1,20987,1,8111,7,20856,7,9,11,53,1,10,2,2,7,60
Martian Targaryen ,MrRedMartian,Fraud,4,61965,15,897,3,12507,16,3348,13,12574,9,4879,3,28657,6,6,16,116,3,26,13,25,13,94
The Mad Hatters FC,Dropswitch,Trust the Process,5,61030,16,832,16,3291,13,6486,6,16181,7,5782,2,29290,16,32,15,104,10,40,5,6,16,150
UncleBabeeBilly,UncleBabeeBilly,Frisky,6,60905,10,972,13,7990,9,9074,11,13357,13,2820,4,27664,13,16,13,58,14,48,10,13,5,57
Blue Moose,imJJTHEGOAT,Contender,7,60259,2,1052,7,10484,1,19554,14,9826,5,6474,12,13921,4,5,2,12,12,47,7,10,1,38
KKnoWay,KKnoWay,Frisky,8,60032,13,956,4,12384,8,10748,12,13225,14,2681,6,20994,11,13,9,45,13,47,16,28,11,75
Madtown Coyotes ,JUICEBOX523,Frisky,9,58884,9,973,8,9345,2,17303,9,14389,8,4953,13,12894,9,12,5,19,8,37,14,25,14,98
At least I have chicken,GCWahoo,Contender,10,57744,1,1055,14,6891,6,11731,10,14197,6,6099,9,18826,8,10,3,13,9,38,6,8,2,40
The #1 Loser,OutlawReturns,Contender,11,57350,3,1035,1,16411,12,7295,15,9155,4,6646,11,17843,1,1,7,42,5,31,4,5,4,50
FortheBelt,FortheBelt,Frisky,12,57151,11,972,11,8733,11,7500,3,17644,10,4602,10,18672,15,27,8,42,7,36,9,13,10,74
卄𝚊𝚙𝚙𝚢 卄𝚒𝚙𝚙𝚒𝚎𝚜™,hippie5923,Fraud,13,55797,14,925,5,10951,7,11451,8,15130,3,7043,15,11222,10,12,12,54,15,63,8,10,15,100
Pikeville Strip Miners,austin2910,Frisky,14,54904,7,989,9,9182,4,14576,16,8234,15,2334,8,20578,2,2,1,11,16,92,11,13,6,57
Team Advanced ,keahnmm,Contender,15,54901,4,1031,15,6263,3,15474,2,18225,12,3248,14,11691,14,18,4,15,2,24,15,27,3,49
The Night Sky Hellhawks ,Hellhawks6654,Contender,16,46389,6,1017,10,8809,10,8882,5,16900,16,1941,16,9857,5,5,6,34,4,29,12,17,8,62

Data Exported from dynasty-daddy.com.
